method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	credit	['A10']	['simple']	1.0	8.0	class	+	0.44894894894894893	5.0	1.0	290.0	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	0.0027985572814941406
BSD	credit	['A10']	['simple']	1.0	8.0	class	+	0.44894894894894893	5.0	1.0	290.0	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	0.007177829742431641
DSSD	credit	['A10']	['simple']	1.0	8.0	class	+	0.44894894894894893	5.0	1.0	290.0	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	0.4497840404510498
fssd	credit	['A10', 'A12']	['simple', 'simple']	2.0	8.0	class	+	0.44894894894894893	5.0	1.0	290.0	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	0.004471778869628906
BSD	credit	['A10', 'A12']	['simple', 'simple']	2.0	8.0	class	+	0.44894894894894893	5.0	4.0	461.0	0.6921921921921922	0.8528428093645485	0.5613079019073569	0.07212392572752935	0.009456157684326172
DSSD	credit	['A10', 'A12']	['simple', 'simple']	2.0	8.0	class	+	0.44894894894894893	5.0	3.0	461.0	0.6921921921921922	0.8528428093645485	0.5613079019073569	0.07212392572752935	0.45153236389160156
fssd	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3.0	8.0	class	+	0.44894894894894893	5.0	1.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	0.0065228939056396484
BSD	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3.0	8.0	class	+	0.44894894894894893	5.0	5.0	417.0	0.6261261261261262	0.9431438127090301	0.3678474114441417	0.1423247571896221	0.013721466064453125
DSSD	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3.0	8.0	class	+	0.44894894894894893	5.0	5.0	520.0	0.7807807807807807	0.9732441471571907	0.6239782016348774	0.0864062260458657	0.46324753761291504
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	class	+	0.44894894894894893	5.0	3.0	356.0	0.5345345345345346	0.9464882943143813	0.1989100817438692	0.18494620746873003	0.021507740020751953
BSD	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	0.039225101470947266
DSSD	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	class	+	0.44894894894894893	5.0	5.0	417.0	0.6261261261261262	0.9431438127090301	0.3678474114441417	0.1423247571896221	0.49129557609558105
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	class	+	0.44894894894894893	5.0	5.0	357.0	0.536036036036036	0.9531772575250836	0.19618528610354224	0.18727511295078864	0.09814715385437012
BSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	0.17261648178100586
DSSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	class	+	0.44894894894894893	5.0	5.0	402.0	0.6036036036036037	0.9431438127090301	0.32697547683923706	0.15243622000378762	0.747596025466919
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10.0	8.0	class	+	0.44894894894894893	5.0	5.0	357.0	0.536036036036036	0.9531772575250836	0.19618528610354224	0.18727511295078864	0.22493243217468262
BSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	0.36562538146972656
DSSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	1.2795474529266357
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric']	12.0	8.0	class	+	0.44894894894894893	5.0	5.0	362.0	0.5435435435435435	0.9665551839464883	0.1989100817438692	0.18991063135207284	0.9223184585571289
BSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric']	12.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	0.47139453887939453
DSSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric']	12.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	1.8008699417114258
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14', 'A3', 'A15', 'A2']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	+	0.44894894894894893	5.0	5.0	362.0	0.5435435435435435	0.9732441471571907	0.19346049046321526	0.19291363435507583	11.463354587554932
BSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14', 'A3', 'A15', 'A2']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	0.6266822814941406
DSSD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14', 'A3', 'A15', 'A2']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	+	0.44894894894894893	5.0	5.0	352.0	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	2.5395820140838623
MCTS4DM	credit	['A10']	['simple']	1.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	107.4877769947052
MCTS4DM	credit	['A10', 'A12']	['simple', 'simple']	2.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	57.80630087852478
MCTS4DM	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	138.980886220932
MCTS4DM	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	227.2510633468628
MCTS4DM	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	222.13300919532776
MCTS4DM	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	271.0274305343628
MCTS4DM	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric']	12.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	94.48263812065125
MCTS4DM	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14', 'A3', 'A15', 'A2']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8	class	+	0.44894894894894893	5.0	0.0	0.0	0.0	0.0	0.0	0.0	15.880573511123657
CN2SD	credit	['A10']	['simple']	1.0	-1.0	class	+	0.44894894894894893	5.0	2.0	290.0	0.4341317365269461	0.6889632107023411	0.22888283378746593	0.11382102823544266	0.15600013732910156
CN2SD	credit	['A10', 'A12']	['simple', 'simple']	2.0	-1.0	class	+	0.44894894894894893	5.0	4.0	290.0	0.4341317365269461	0.6889632107023411	0.22888283378746593	0.11382102823544266	0.18499994277954102
CN2SD	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3.0	-1.0	class	+	0.44894894894894893	5.0	4.0	666.0	0.9970059880239521	1.0	1.0	0.0	0.27500009536743164
CN2SD	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	-1.0	class	+	0.44894894894894893	5.0	5.0	308.0	0.46107784431137727	0.8729096989966555	0.12806539509536785	0.18426985544102661	0.7679998874664307
CN2SD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	-1.0	class	+	0.44894894894894893	5.0	5.0	666.0	0.9970059880239521	1.0	1.0	0.0	3.3959999084472656
CN2SD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10.0	-1.0	class	+	0.44894894894894893	5.0	5.0	666.0	0.9970059880239521	1.0	1.0	0.0	7.042999744415283
CN2SD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric']	12.0	-1.0	class	+	0.44894894894894893	5.0	5.0	666.0	0.9970059880239521	1.0	1.0	0.0	9.606000185012817
CN2SD	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14', 'A3', 'A15', 'A2']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	-1.0	class	+	0.44894894894894893	5.0	5.0	666.0	0.9970059880239521	1.0	1.0	0.0	12.74399995803833
