engine_location	fuel_type	aspiration	drive_wheels	num_of_doors	body_style	engine_type	num_of_cylinders	fuel_system	make	normalized_losses	peak_rpm	city_mpg	highway_mpg	compression_ratio	stroke	bore	engine_size	width	height	wheel_base	horsepower	length	curb_weight	price	symboling
front	gas	std	rwd	two	convertible	dohc	four	mpfi	alfa-romero	?	5000.0	21.0	27.0	9.0	2.68	3.47	130.0	64.1	48.8	88.6	111.0	168.8	2548.0	13495.0	3
front	gas	std	rwd	two	convertible	dohc	four	mpfi	alfa-romero	?	5000.0	21.0	27.0	9.0	2.68	3.47	130.0	64.1	48.8	88.6	111.0	168.8	2548.0	16500.0	3
front	gas	std	rwd	two	hatchback	ohcv	six	mpfi	alfa-romero	?	5000.0	19.0	26.0	9.0	3.47	2.68	152.0	65.5	52.4	94.5	154.0	171.2	2823.0	16500.0	1
front	gas	std	fwd	four	sedan	ohc	four	mpfi	audi	164	5500.0	24.0	30.0	10.0	3.4	3.19	109.0	66.2	54.3	99.8	102.0	176.6	2337.0	13950.0	2
front	gas	std	4wd	four	sedan	ohc	five	mpfi	audi	164	5500.0	18.0	22.0	8.0	3.4	3.19	136.0	66.4	54.3	99.4	115.0	176.6	2824.0	17450.0	2
front	gas	std	fwd	two	sedan	ohc	five	mpfi	audi	?	5500.0	19.0	25.0	8.5	3.4	3.19	136.0	66.3	53.1	99.8	110.0	177.3	2507.0	15250.0	2
front	gas	std	fwd	four	sedan	ohc	five	mpfi	audi	158	5500.0	19.0	25.0	8.5	3.4	3.19	136.0	71.4	55.7	105.8	110.0	192.7	2844.0	17710.0	1
front	gas	std	fwd	four	wagon	ohc	five	mpfi	audi	?	5500.0	19.0	25.0	8.5	3.4	3.19	136.0	71.4	55.7	105.8	110.0	192.7	2954.0	18920.0	1
front	gas	turbo	fwd	four	sedan	ohc	five	mpfi	audi	158	5500.0	17.0	20.0	8.3	3.4	3.13	131.0	71.4	55.9	105.8	140.0	192.7	3086.0	23875.0	1
front	gas	std	rwd	two	sedan	ohc	four	mpfi	bmw	192	5800.0	23.0	29.0	8.8	2.8	3.5	108.0	64.8	54.3	101.2	101.0	176.8	2395.0	16430.0	2
front	gas	std	rwd	four	sedan	ohc	four	mpfi	bmw	192	5800.0	23.0	29.0	8.8	2.8	3.5	108.0	64.8	54.3	101.2	101.0	176.8	2395.0	16925.0	0
front	gas	std	rwd	two	sedan	ohc	six	mpfi	bmw	188	4250.0	21.0	28.0	9.0	3.19	3.31	164.0	64.8	54.3	101.2	121.0	176.8	2710.0	20970.0	0
front	gas	std	rwd	four	sedan	ohc	six	mpfi	bmw	188	4250.0	21.0	28.0	9.0	3.19	3.31	164.0	64.8	54.3	101.2	121.0	176.8	2765.0	21105.0	0
front	gas	std	rwd	four	sedan	ohc	six	mpfi	bmw	?	4250.0	20.0	25.0	9.0	3.19	3.31	164.0	66.9	55.7	103.5	121.0	189.0	3055.0	24565.0	1
front	gas	std	rwd	four	sedan	ohc	six	mpfi	bmw	?	5400.0	16.0	22.0	8.0	3.39	3.62	209.0	66.9	55.7	103.5	182.0	189.0	3230.0	30760.0	0
front	gas	std	rwd	two	sedan	ohc	six	mpfi	bmw	?	5400.0	16.0	22.0	8.0	3.39	3.62	209.0	67.9	53.7	103.5	182.0	193.8	3380.0	41315.0	0
front	gas	std	rwd	four	sedan	ohc	six	mpfi	bmw	?	5400.0	15.0	20.0	8.0	3.39	3.62	209.0	70.9	56.3	110.0	182.0	197.0	3505.0	36880.0	0
front	gas	std	fwd	two	hatchback	l	three	2bbl	chevrolet	121	5100.0	47.0	53.0	9.5	3.03	2.91	61.0	60.3	53.2	88.4	48.0	141.1	1488.0	5151.0	2
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	chevrolet	98	5400.0	38.0	43.0	9.6	3.11	3.03	90.0	63.6	52.0	94.5	70.0	155.9	1874.0	6295.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	chevrolet	81	5400.0	38.0	43.0	9.6	3.11	3.03	90.0	63.6	52.0	94.5	70.0	158.8	1909.0	6575.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	dodge	118	5500.0	37.0	41.0	9.41	3.23	2.97	90.0	63.8	50.8	93.7	68.0	157.3	1876.0	5572.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	dodge	118	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.8	93.7	68.0	157.3	1876.0	6377.0	1
front	gas	turbo	fwd	two	hatchback	ohc	four	mpfi	dodge	118	5500.0	24.0	30.0	7.6	3.39	3.03	98.0	63.8	50.8	93.7	102.0	157.3	2128.0	7957.0	1
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	dodge	148	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.6	93.7	68.0	157.3	1967.0	6229.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	dodge	148	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.6	93.7	68.0	157.3	1989.0	6692.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	dodge	148	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.6	93.7	68.0	157.3	1989.0	7609.0	1
front	gas	turbo	fwd	?	sedan	ohc	four	mpfi	dodge	148	5500.0	24.0	30.0	7.6	3.39	3.03	98.0	63.8	50.6	93.7	102.0	157.3	2191.0	8558.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	dodge	110	5000.0	24.0	30.0	8.5	3.46	3.34	122.0	64.6	59.8	103.3	88.0	174.6	2535.0	8921.0	-1
front	gas	turbo	fwd	two	hatchback	ohc	four	mfi	dodge	145	5000.0	19.0	24.0	7.0	3.9	3.6	156.0	66.3	50.2	95.9	145.0	173.2	2811.0	12964.0	3
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	137	4800.0	49.0	54.0	9.6	3.41	2.91	92.0	63.9	50.8	86.6	58.0	144.6	1713.0	6479.0	2
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	137	6000.0	31.0	38.0	9.2	3.41	2.91	92.0	63.9	50.8	86.6	76.0	144.6	1819.0	6855.0	2
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	101	5500.0	38.0	42.0	10.1	3.07	2.91	79.0	64.0	52.6	93.7	60.0	150.0	1837.0	5399.0	1
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	101	6000.0	30.0	34.0	9.2	3.41	2.91	92.0	64.0	52.6	93.7	76.0	150.0	1940.0	6529.0	1
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	101	6000.0	30.0	34.0	9.2	3.41	2.91	92.0	64.0	52.6	93.7	76.0	150.0	1956.0	7129.0	1
front	gas	std	fwd	four	sedan	ohc	four	1bbl	honda	110	6000.0	30.0	34.0	9.2	3.41	2.91	92.0	64.0	54.5	96.5	76.0	163.4	2010.0	7295.0	0
front	gas	std	fwd	four	wagon	ohc	four	1bbl	honda	78	6000.0	30.0	34.0	9.2	3.41	2.92	92.0	63.9	58.3	96.5	76.0	157.1	2024.0	7295.0	0
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	106	5800.0	27.0	33.0	9.0	3.58	3.15	110.0	65.2	53.3	96.5	86.0	167.5	2236.0	7895.0	0
front	gas	std	fwd	two	hatchback	ohc	four	1bbl	honda	106	5800.0	27.0	33.0	9.0	3.58	3.15	110.0	65.2	53.3	96.5	86.0	167.5	2289.0	9095.0	0
front	gas	std	fwd	four	sedan	ohc	four	1bbl	honda	85	5800.0	27.0	33.0	9.0	3.58	3.15	110.0	65.2	54.1	96.5	86.0	175.4	2304.0	8845.0	0
front	gas	std	fwd	four	sedan	ohc	four	1bbl	honda	85	5800.0	27.0	33.0	9.0	3.58	3.15	110.0	62.5	54.1	96.5	86.0	175.4	2372.0	10295.0	0
front	gas	std	fwd	four	sedan	ohc	four	mpfi	honda	85	5800.0	24.0	28.0	9.0	3.58	3.15	110.0	65.2	54.1	96.5	101.0	175.4	2465.0	12945.0	0
front	gas	std	fwd	two	sedan	ohc	four	2bbl	honda	107	5500.0	25.0	31.0	9.1	3.58	3.15	110.0	66.0	51.0	96.5	100.0	169.1	2293.0	10345.0	1
front	gas	std	rwd	four	sedan	ohc	four	2bbl	isuzu	?	4800.0	24.0	29.0	8.5	3.23	3.31	111.0	61.8	53.5	94.3	78.0	170.7	2337.0	6785.0	0
front	gas	std	rwd	two	hatchback	ohc	four	spfi	isuzu	?	5000.0	24.0	29.0	9.2	3.23	3.43	119.0	65.2	51.4	96.0	90.0	172.6	2734.0	11048.0	2
front	gas	std	rwd	four	sedan	dohc	six	mpfi	jaguar	145	4750.0	15.0	19.0	8.1	4.17	3.63	258.0	69.6	52.8	113.0	176.0	199.6	4066.0	32250.0	0
front	gas	std	rwd	four	sedan	dohc	six	mpfi	jaguar	?	4750.0	15.0	19.0	8.1	4.17	3.63	258.0	69.6	52.8	113.0	176.0	199.6	4066.0	35550.0	0
front	gas	std	rwd	two	sedan	ohcv	twelve	mpfi	jaguar	?	5000.0	13.0	17.0	11.5	2.76	3.54	326.0	70.6	47.8	102.0	262.0	191.7	3950.0	36000.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	104	5000.0	30.0	31.0	9.0	3.15	3.03	91.0	64.2	54.1	93.1	68.0	159.1	1890.0	5195.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	104	5000.0	31.0	38.0	9.0	3.15	3.03	91.0	64.2	54.1	93.1	68.0	159.1	1900.0	6095.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	104	5000.0	31.0	38.0	9.0	3.15	3.03	91.0	64.2	54.1	93.1	68.0	159.1	1905.0	6795.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	113	5000.0	31.0	38.0	9.0	3.15	3.03	91.0	64.2	54.1	93.1	68.0	166.8	1945.0	6695.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	113	5000.0	31.0	38.0	9.0	3.15	3.08	91.0	64.2	54.1	93.1	68.0	166.8	1950.0	7395.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	129	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	53.7	98.8	84.0	177.8	2385.0	8845.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	115	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	55.5	98.8	84.0	177.8	2410.0	8495.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mazda	129	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	53.7	98.8	84.0	177.8	2385.0	10595.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mazda	115	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	55.5	98.8	84.0	177.8	2410.0	10245.0	0
front	diesel	std	fwd	?	sedan	ohc	four	idi	mazda	?	4650.0	36.0	42.0	22.7	3.39	3.39	122.0	66.5	55.5	98.8	64.0	177.8	2443.0	10795.0	0
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	mazda	115	4800.0	26.0	32.0	8.6	3.39	3.39	122.0	66.5	55.5	98.8	84.0	177.8	2425.0	11245.0	0
front	gas	std	rwd	four	sedan	ohc	four	mpfi	mazda	118	5000.0	19.0	27.0	8.0	3.16	3.76	140.0	66.1	54.4	104.9	120.0	175.0	2670.0	18280.0	0
front	diesel	std	rwd	four	sedan	ohc	four	idi	mazda	?	4200.0	31.0	39.0	22.0	3.64	3.43	134.0	66.1	54.4	104.9	72.0	175.0	2700.0	18344.0	0
front	diesel	turbo	rwd	four	sedan	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	70.3	56.5	110.0	123.0	190.9	3515.0	25552.0	-1
front	diesel	turbo	rwd	four	wagon	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	70.3	58.7	110.0	123.0	190.9	3750.0	28248.0	-1
front	diesel	turbo	rwd	two	hardtop	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	70.3	54.9	106.7	123.0	187.5	3495.0	28176.0	0
front	diesel	turbo	rwd	four	sedan	ohc	five	idi	mercedes-benz	93	4350.0	22.0	25.0	21.5	3.64	3.58	183.0	71.7	56.3	115.6	123.0	202.6	3770.0	31600.0	-1
front	gas	std	rwd	four	sedan	ohcv	eight	mpfi	mercedes-benz	?	4750.0	16.0	18.0	8.3	3.1	3.46	234.0	71.7	56.5	115.6	155.0	202.6	3740.0	34184.0	-1
front	gas	std	rwd	two	convertible	ohcv	eight	mpfi	mercedes-benz	142	4750.0	16.0	18.0	8.3	3.1	3.46	234.0	70.5	50.8	96.6	155.0	180.3	3685.0	35056.0	3
front	gas	std	rwd	four	sedan	ohcv	eight	mpfi	mercedes-benz	?	4500.0	14.0	16.0	8.0	3.35	3.8	308.0	71.7	56.7	120.9	184.0	208.1	3900.0	40960.0	0
front	gas	std	rwd	two	hardtop	ohcv	eight	mpfi	mercedes-benz	?	4500.0	14.0	16.0	8.0	3.35	3.8	304.0	72.0	55.4	112.0	184.0	199.2	3715.0	45400.0	1
front	gas	turbo	rwd	two	hatchback	ohc	four	mpfi	mercury	?	5000.0	19.0	24.0	8.0	3.12	3.78	140.0	68.0	54.8	102.7	175.0	178.4	2910.0	16503.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	161	5500.0	37.0	41.0	9.4	3.23	2.97	92.0	64.4	50.8	93.7	68.0	157.3	1918.0	5389.0	2
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	161	5500.0	31.0	38.0	9.4	3.23	2.97	92.0	64.4	50.8	93.7	68.0	157.3	1944.0	6189.0	2
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	161	5500.0	31.0	38.0	9.4	3.23	2.97	92.0	64.4	50.8	93.7	68.0	157.3	2004.0	6669.0	2
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	161	5500.0	24.0	30.0	7.6	3.39	3.03	98.0	63.8	50.8	93.0	102.0	157.3	2145.0	7689.0	1
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	153	5500.0	23.0	30.0	7.5	3.46	3.17	110.0	65.4	49.4	96.3	116.0	173.0	2370.0	9959.0	3
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	mitsubishi	153	5000.0	25.0	32.0	8.5	3.46	3.35	122.0	65.4	49.4	96.3	88.0	173.0	2328.0	8499.0	3
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	?	5000.0	19.0	24.0	7.0	3.86	3.58	156.0	66.3	50.2	95.9	145.0	173.2	2833.0	12629.0	3
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	?	5000.0	19.0	24.0	7.0	3.86	3.59	156.0	66.3	50.2	95.9	145.0	173.2	2921.0	14869.0	3
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	mitsubishi	?	5000.0	19.0	24.0	7.0	3.86	3.59	156.0	66.3	50.2	95.9	145.0	173.2	2926.0	14489.0	3
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mitsubishi	125	5000.0	25.0	32.0	8.5	3.46	3.35	122.0	65.4	51.6	96.3	88.0	172.4	2365.0	6989.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	mitsubishi	125	5000.0	25.0	32.0	8.5	3.46	3.35	122.0	65.4	51.6	96.3	88.0	172.4	2405.0	8189.0	1
front	gas	turbo	fwd	four	sedan	ohc	four	spdi	mitsubishi	125	5500.0	23.0	30.0	7.5	3.46	3.17	110.0	65.4	51.6	96.3	116.0	172.4	2403.0	9279.0	1
front	gas	std	fwd	four	sedan	ohc	four	spdi	mitsubishi	137	5500.0	23.0	30.0	7.5	3.46	3.17	110.0	65.4	51.6	96.3	116.0	172.4	2403.0	9279.0	-1
front	gas	std	fwd	two	sedan	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1889.0	5499.0	1
front	diesel	std	fwd	two	sedan	ohc	four	idi	nissan	128	4800.0	45.0	50.0	21.9	3.47	2.99	103.0	63.8	54.5	94.5	55.0	165.3	2017.0	7099.0	1
front	gas	std	fwd	two	sedan	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1918.0	6649.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	nissan	122	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1938.0	6849.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	nissan	103	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.5	94.5	69.0	170.2	2024.0	7349.0	1
front	gas	std	fwd	two	sedan	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1951.0	7299.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	nissan	128	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.3	94.5	69.0	165.6	2028.0	7799.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	nissan	122	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	54.5	94.5	69.0	165.3	1971.0	7499.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	nissan	103	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.5	94.5	69.0	170.2	2037.0	7999.0	1
front	gas	std	fwd	two	hardtop	ohc	four	2bbl	nissan	168	5200.0	31.0	37.0	9.4	3.29	3.15	97.0	63.8	53.3	95.1	69.0	162.4	2008.0	8249.0	2
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	nissan	106	5200.0	27.0	34.0	8.5	3.47	3.33	120.0	65.2	54.7	97.2	97.0	173.4	2324.0	8949.0	0
front	gas	std	fwd	four	sedan	ohc	four	2bbl	nissan	106	5200.0	27.0	34.0	8.5	3.47	3.33	120.0	65.2	54.7	97.2	97.0	173.4	2302.0	9549.0	0
front	gas	std	fwd	four	sedan	ohcv	six	mpfi	nissan	128	5200.0	17.0	22.0	9.0	3.27	3.43	181.0	66.5	55.1	100.4	152.0	181.7	3095.0	13499.0	0
front	gas	std	fwd	four	wagon	ohcv	six	mpfi	nissan	108	5200.0	17.0	22.0	9.0	3.27	3.43	181.0	66.5	56.1	100.4	152.0	184.6	3296.0	14399.0	0
