engine_location	fuel_type	aspiration	drive_wheels	num_of_doors	body_style	engine_type	num_of_cylinders	fuel_system	make	normalized_losses	peak_rpm	city_mpg	highway_mpg	compression_ratio	stroke	bore	engine_size	width	height	wheel_base	horsepower	length	curb_weight	price	symboling
front	gas	std	fwd	four	sedan	ohcv	six	mpfi	nissan	108	5200.0	19.0	25.0	9.0	3.27	3.43	181.0	66.5	55.1	100.4	152.0	184.6	3060.0	13499.0	0
front	gas	std	rwd	two	hatchback	ohcv	six	mpfi	nissan	194	5200.0	19.0	25.0	9.0	3.27	3.43	181.0	67.9	49.7	91.3	160.0	170.7	3071.0	17199.0	3
front	gas	turbo	rwd	two	hatchback	ohcv	six	mpfi	nissan	194	5200.0	17.0	23.0	7.8	3.27	3.43	181.0	67.9	49.7	91.3	200.0	170.7	3139.0	19699.0	3
front	gas	std	rwd	two	hatchback	ohcv	six	mpfi	nissan	231	5200.0	19.0	25.0	9.0	3.27	3.43	181.0	67.9	49.7	99.2	160.0	178.5	3139.0	18399.0	1
front	gas	std	rwd	four	sedan	l	four	mpfi	peugot	161	5000.0	19.0	24.0	8.4	3.19	3.46	120.0	68.4	56.7	107.9	97.0	186.7	3020.0	11900.0	0
front	diesel	turbo	rwd	four	sedan	l	four	idi	peugot	161	4150.0	28.0	33.0	21.0	3.52	3.7	152.0	68.4	56.7	107.9	95.0	186.7	3197.0	13200.0	0
front	gas	std	rwd	four	wagon	l	four	mpfi	peugot	?	5000.0	19.0	24.0	8.4	3.19	3.46	120.0	68.4	58.7	114.2	97.0	198.9	3230.0	12440.0	0
front	diesel	turbo	rwd	four	wagon	l	four	idi	peugot	?	4150.0	25.0	25.0	21.0	3.52	3.7	152.0	68.4	58.7	114.2	95.0	198.9	3430.0	13860.0	0
front	gas	std	rwd	four	sedan	l	four	mpfi	peugot	161	5000.0	19.0	24.0	8.4	2.19	3.46	120.0	68.4	56.7	107.9	95.0	186.7	3075.0	15580.0	0
front	diesel	turbo	rwd	four	sedan	l	four	idi	peugot	161	4150.0	28.0	33.0	21.0	3.52	3.7	152.0	68.4	56.7	107.9	95.0	186.7	3252.0	16900.0	0
front	gas	std	rwd	four	wagon	l	four	mpfi	peugot	?	5000.0	19.0	24.0	8.4	2.19	3.46	120.0	68.4	56.7	114.2	95.0	198.9	3285.0	16695.0	0
front	diesel	turbo	rwd	four	wagon	l	four	idi	peugot	?	4150.0	25.0	25.0	21.0	3.52	3.7	152.0	68.4	58.7	114.2	95.0	198.9	3485.0	17075.0	0
front	gas	std	rwd	four	sedan	l	four	mpfi	peugot	161	5000.0	19.0	24.0	8.4	3.19	3.46	120.0	68.4	56.7	107.9	97.0	186.7	3075.0	16630.0	0
front	diesel	turbo	rwd	four	sedan	l	four	idi	peugot	161	4150.0	28.0	33.0	21.0	3.52	3.7	152.0	68.4	56.7	107.9	95.0	186.7	3252.0	17950.0	0
front	gas	turbo	rwd	four	sedan	l	four	mpfi	peugot	161	5600.0	18.0	24.0	7.0	3.21	3.61	134.0	68.3	56.0	108.0	142.0	186.7	3130.0	18150.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	plymouth	119	5500.0	37.0	41.0	9.4	3.23	2.97	90.0	63.8	50.8	93.7	68.0	157.3	1918.0	5572.0	1
front	gas	turbo	fwd	two	hatchback	ohc	four	spdi	plymouth	119	5500.0	24.0	30.0	7.6	3.39	3.03	98.0	63.8	50.8	93.7	102.0	157.3	2128.0	7957.0	1
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	plymouth	154	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.6	93.7	68.0	157.3	1967.0	6229.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	plymouth	154	5500.0	31.0	38.0	9.4	3.23	2.97	90.0	63.8	50.8	93.7	68.0	167.3	1989.0	6692.0	1
front	gas	std	fwd	four	sedan	ohc	four	2bbl	plymouth	154	5500.0	31.0	38.0	9.4	3.23	2.97	98.0	63.8	50.8	93.7	68.0	167.3	2191.0	7609.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	plymouth	74	5000.0	24.0	30.0	8.5	3.46	3.35	122.0	64.6	59.8	103.3	88.0	174.6	2535.0	8921.0	-1
front	gas	turbo	rwd	two	hatchback	ohc	four	spdi	plymouth	?	5000.0	19.0	24.0	7.0	3.86	3.59	156.0	66.3	50.2	95.9	145.0	173.2	2818.0	12764.0	3
front	gas	std	rwd	two	hatchback	ohc	four	mpfi	porsche	186	5500.0	19.0	27.0	9.5	3.11	3.94	151.0	68.3	50.2	94.5	143.0	168.9	2778.0	22018.0	3
rear	gas	std	rwd	two	hardtop	ohcf	six	mpfi	porsche	?	5900.0	17.0	25.0	9.5	2.9	3.74	194.0	65.0	51.6	89.5	207.0	168.9	2756.0	32528.0	3
rear	gas	std	rwd	two	hardtop	ohcf	six	mpfi	porsche	?	5900.0	17.0	25.0	9.5	2.9	3.74	194.0	65.0	51.6	89.5	207.0	168.9	2756.0	34028.0	3
rear	gas	std	rwd	two	convertible	ohcf	six	mpfi	porsche	?	5900.0	17.0	25.0	9.5	2.9	3.74	194.0	65.0	51.6	89.5	207.0	168.9	2800.0	37028.0	3
front	gas	std	fwd	two	hatchback	ohc	four	mpfi	saab	150	5250.0	21.0	28.0	9.31	3.07	3.54	121.0	66.5	56.1	99.1	110.0	186.6	2658.0	11850.0	3
front	gas	std	fwd	four	sedan	ohc	four	mpfi	saab	104	5250.0	21.0	28.0	9.3	3.07	3.54	121.0	66.5	56.1	99.1	110.0	186.6	2695.0	12170.0	2
front	gas	std	fwd	two	hatchback	ohc	four	mpfi	saab	150	5250.0	21.0	28.0	9.3	2.07	2.54	121.0	66.5	56.1	99.1	110.0	186.6	2707.0	15040.0	3
front	gas	std	fwd	four	sedan	ohc	four	mpfi	saab	104	5250.0	21.0	28.0	9.3	3.07	3.54	121.0	66.5	56.1	99.1	110.0	186.6	2758.0	15510.0	2
front	gas	turbo	fwd	two	hatchback	dohc	four	mpfi	saab	150	5500.0	19.0	26.0	9.0	3.07	3.54	121.0	66.5	56.1	99.1	160.0	186.6	2808.0	18150.0	3
front	gas	turbo	fwd	four	sedan	dohc	four	mpfi	saab	104	5500.0	19.0	26.0	9.0	3.07	3.54	121.0	66.5	56.1	99.1	160.0	186.6	2847.0	18620.0	2
front	gas	std	fwd	two	hatchback	ohcf	four	2bbl	subaru	83	4900.0	31.0	36.0	9.0	2.36	3.62	97.0	63.4	53.7	93.7	69.0	156.9	2050.0	5118.0	2
front	gas	std	fwd	two	hatchback	ohcf	four	2bbl	subaru	83	4400.0	26.0	31.0	8.7	2.64	3.62	108.0	63.6	53.7	93.7	73.0	157.9	2120.0	7053.0	2
front	gas	std	4wd	two	hatchback	ohcf	four	2bbl	subaru	83	4400.0	26.0	31.0	8.7	2.64	3.62	108.0	63.8	55.7	93.3	73.0	157.3	2240.0	7603.0	2
front	gas	std	fwd	four	sedan	ohcf	four	2bbl	subaru	102	4800.0	32.0	37.0	9.5	2.64	3.62	108.0	65.4	52.5	97.2	82.0	172.0	2145.0	7126.0	0
front	gas	std	fwd	four	sedan	ohcf	four	2bbl	subaru	102	4400.0	28.0	33.0	9.5	2.64	3.62	108.0	65.4	52.5	97.2	82.0	172.0	2190.0	7775.0	0
front	gas	std	fwd	four	sedan	ohcf	four	mpfi	subaru	102	5200.0	26.0	32.0	9.0	2.64	3.62	108.0	65.4	52.5	97.2	94.0	172.0	2340.0	9960.0	0
front	gas	std	4wd	four	sedan	ohcf	four	2bbl	subaru	102	4800.0	24.0	25.0	9.0	2.64	3.62	108.0	65.4	54.3	97.0	82.0	172.0	2385.0	9233.0	0
front	gas	turbo	4wd	four	sedan	ohcf	four	mpfi	subaru	102	4800.0	24.0	29.0	7.7	2.64	3.62	108.0	65.4	54.3	97.0	111.0	172.0	2510.0	11259.0	0
front	gas	std	fwd	four	wagon	ohcf	four	2bbl	subaru	89	4800.0	28.0	32.0	9.0	2.64	3.62	108.0	65.4	53.0	97.0	82.0	173.5	2290.0	7463.0	0
front	gas	std	fwd	four	wagon	ohcf	four	mpfi	subaru	89	5200.0	25.0	31.0	9.0	2.64	3.62	108.0	65.4	53.0	97.0	94.0	173.5	2455.0	10198.0	0
front	gas	std	4wd	four	wagon	ohcf	four	2bbl	subaru	85	4800.0	23.0	29.0	9.0	2.64	3.62	108.0	65.4	54.9	96.9	82.0	173.6	2420.0	8013.0	0
front	gas	turbo	4wd	four	wagon	ohcf	four	mpfi	subaru	85	4800.0	23.0	23.0	7.7	2.64	3.62	108.0	65.4	54.9	96.9	111.0	173.6	2650.0	11694.0	0
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	toyota	87	4800.0	35.0	39.0	9.0	3.03	3.05	92.0	63.6	54.5	95.7	62.0	158.7	1985.0	5348.0	1
front	gas	std	fwd	two	hatchback	ohc	four	2bbl	toyota	87	4800.0	31.0	38.0	9.0	3.03	3.05	92.0	63.6	54.5	95.7	62.0	158.7	2040.0	6338.0	1
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	toyota	74	4800.0	31.0	38.0	9.0	3.03	3.05	92.0	63.6	54.5	95.7	62.0	158.7	2015.0	6488.0	1
front	gas	std	fwd	four	wagon	ohc	four	2bbl	toyota	77	4800.0	31.0	37.0	9.0	3.03	3.05	92.0	63.6	59.1	95.7	62.0	169.7	2280.0	6918.0	0
front	gas	std	4wd	four	wagon	ohc	four	2bbl	toyota	81	4800.0	27.0	32.0	9.0	3.03	3.05	92.0	63.6	59.1	95.7	62.0	169.7	2290.0	7898.0	0
front	gas	std	4wd	four	wagon	ohc	four	2bbl	toyota	91	4800.0	27.0	32.0	9.0	3.03	3.05	92.0	63.6	59.1	95.7	62.0	169.7	3110.0	8778.0	0
front	gas	std	fwd	four	sedan	ohc	four	2bbl	toyota	91	4800.0	30.0	37.0	9.0	3.03	3.19	98.0	64.4	53.0	95.7	70.0	166.3	2081.0	6938.0	0
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	toyota	91	4800.0	30.0	37.0	9.0	3.03	3.19	98.0	64.4	52.8	95.7	70.0	166.3	2109.0	7198.0	0
front	diesel	std	fwd	four	sedan	ohc	four	idi	toyota	91	4500.0	34.0	36.0	22.5	3.35	3.27	110.0	64.4	53.0	95.7	56.0	166.3	2275.0	7898.0	0
front	diesel	std	fwd	four	hatchback	ohc	four	idi	toyota	91	4500.0	38.0	47.0	22.5	3.35	3.27	110.0	64.4	52.8	95.7	56.0	166.3	2275.0	7788.0	0
front	gas	std	fwd	four	sedan	ohc	four	2bbl	toyota	91	4800.0	38.0	47.0	9.0	3.03	3.19	98.0	64.4	53.0	95.7	70.0	166.3	2094.0	7738.0	0
front	gas	std	fwd	four	hatchback	ohc	four	2bbl	toyota	91	4800.0	28.0	34.0	9.0	3.03	3.19	98.0	64.4	52.8	95.7	70.0	166.3	2122.0	8358.0	0
front	gas	std	fwd	four	sedan	ohc	four	2bbl	toyota	91	4800.0	28.0	34.0	9.0	3.03	3.19	98.0	64.4	52.8	95.7	70.0	166.3	2140.0	9258.0	0
front	gas	std	rwd	two	sedan	ohc	four	2bbl	toyota	168	4800.0	29.0	34.0	9.0	3.03	3.19	98.0	64.0	52.6	94.5	70.0	168.7	2169.0	8058.0	1
front	gas	std	rwd	two	hatchback	ohc	four	2bbl	toyota	168	4800.0	29.0	34.0	9.0	3.03	3.19	98.0	64.0	52.6	94.5	70.0	168.7	2204.0	8238.0	1
front	gas	std	rwd	two	sedan	dohc	four	mpfi	toyota	168	6600.0	26.0	29.0	9.4	3.08	3.24	98.0	64.0	52.6	94.5	112.0	168.7	2265.0	9298.0	1
front	gas	std	rwd	two	hatchback	dohc	four	mpfi	toyota	168	6600.0	26.0	29.0	9.4	3.08	3.24	98.0	64.0	52.6	94.5	112.0	168.7	2300.0	9538.0	1
front	gas	std	rwd	two	hardtop	ohc	four	mpfi	toyota	134	4800.0	24.0	30.0	9.3	3.5	3.62	146.0	65.6	52.0	98.4	116.0	176.2	2540.0	8449.0	2
front	gas	std	rwd	two	hardtop	ohc	four	mpfi	toyota	134	4800.0	24.0	30.0	9.3	3.5	3.62	146.0	65.6	52.0	98.4	116.0	176.2	2536.0	9639.0	2
front	gas	std	rwd	two	hatchback	ohc	four	mpfi	toyota	134	4800.0	24.0	30.0	9.3	3.5	3.62	146.0	65.6	52.0	98.4	116.0	176.2	2551.0	9989.0	2
front	gas	std	rwd	two	hardtop	ohc	four	mpfi	toyota	134	4800.0	24.0	30.0	9.3	3.5	3.62	146.0	65.6	52.0	98.4	116.0	176.2	2679.0	11199.0	2
front	gas	std	rwd	two	hatchback	ohc	four	mpfi	toyota	134	4800.0	24.0	30.0	9.3	3.5	3.62	146.0	65.6	52.0	98.4	116.0	176.2	2714.0	11549.0	2
front	gas	std	rwd	two	convertible	ohc	four	mpfi	toyota	134	4800.0	24.0	30.0	9.3	3.5	3.62	146.0	65.6	53.0	98.4	116.0	176.2	2975.0	17669.0	2
front	gas	std	fwd	four	sedan	ohc	four	mpfi	toyota	65	4200.0	29.0	34.0	8.7	3.54	3.31	122.0	66.5	54.9	102.4	92.0	175.6	2326.0	8948.0	-1
front	diesel	turbo	fwd	four	sedan	ohc	four	idi	toyota	65	4500.0	30.0	33.0	22.5	3.35	3.27	110.0	66.5	54.9	102.4	73.0	175.6	2480.0	10698.0	-1
front	gas	std	fwd	four	hatchback	ohc	four	mpfi	toyota	65	4200.0	27.0	32.0	8.7	3.54	3.31	122.0	66.5	53.9	102.4	92.0	175.6	2414.0	9988.0	-1
front	gas	std	fwd	four	sedan	ohc	four	mpfi	toyota	65	4200.0	27.0	32.0	8.7	3.54	3.31	122.0	66.5	54.9	102.4	92.0	175.6	2414.0	10898.0	-1
front	gas	std	fwd	four	hatchback	ohc	four	mpfi	toyota	65	4200.0	27.0	32.0	8.7	3.54	3.31	122.0	66.5	53.9	102.4	92.0	175.6	2458.0	11248.0	-1
front	gas	std	rwd	two	hatchback	dohc	six	mpfi	toyota	197	5200.0	20.0	24.0	9.3	3.35	3.27	171.0	67.7	52.0	102.9	161.0	183.5	2976.0	16558.0	3
front	gas	std	rwd	two	hatchback	dohc	six	mpfi	toyota	197	5200.0	19.0	24.0	9.3	3.35	3.27	171.0	67.7	52.0	102.9	161.0	183.5	3016.0	15998.0	3
front	gas	std	rwd	four	sedan	dohc	six	mpfi	toyota	90	5200.0	20.0	24.0	9.2	3.35	3.27	171.0	66.5	54.1	104.5	156.0	187.8	3131.0	15690.0	-1
front	gas	std	rwd	four	wagon	dohc	six	mpfi	toyota	?	5200.0	19.0	24.0	9.2	3.35	3.27	161.0	66.5	54.1	104.5	156.0	187.8	3151.0	15750.0	-1
front	diesel	std	fwd	two	sedan	ohc	four	idi	volkswagen	122	4800.0	37.0	46.0	23.0	3.4	3.01	97.0	65.5	55.7	97.3	52.0	171.7	2261.0	7775.0	2
front	gas	std	fwd	two	sedan	ohc	four	mpfi	volkswagen	122	5250.0	27.0	34.0	9.0	3.4	3.19	109.0	65.5	55.7	97.3	85.0	171.7	2209.0	7975.0	2
front	diesel	std	fwd	four	sedan	ohc	four	idi	volkswagen	94	4800.0	37.0	46.0	23.0	3.4	3.01	97.0	65.5	55.7	97.3	52.0	171.7	2264.0	7995.0	2
front	gas	std	fwd	four	sedan	ohc	four	mpfi	volkswagen	94	5250.0	27.0	34.0	9.0	3.4	3.19	109.0	65.5	55.7	97.3	85.0	171.7	2212.0	8195.0	2
front	gas	std	fwd	four	sedan	ohc	four	mpfi	volkswagen	94	5250.0	27.0	34.0	9.0	3.4	3.19	109.0	65.5	55.7	97.3	85.0	171.7	2275.0	8495.0	2
front	diesel	turbo	fwd	four	sedan	ohc	four	idi	volkswagen	94	4500.0	37.0	42.0	23.0	3.4	3.01	97.0	65.5	55.7	97.3	68.0	171.7	2319.0	9495.0	2
front	gas	std	fwd	four	sedan	ohc	four	mpfi	volkswagen	94	5500.0	26.0	32.0	10.0	3.4	3.19	109.0	65.5	55.7	97.3	100.0	171.7	2300.0	9995.0	2
front	gas	std	fwd	two	convertible	ohc	four	mpfi	volkswagen	?	5500.0	24.0	29.0	8.5	3.4	3.19	109.0	64.2	55.6	94.5	90.0	159.3	2254.0	11595.0	3
front	gas	std	fwd	two	hatchback	ohc	four	mpfi	volkswagen	256	5500.0	24.0	29.0	8.5	3.4	3.19	109.0	64.0	51.4	94.5	90.0	165.7	2221.0	9980.0	3
front	gas	std	fwd	four	sedan	ohc	five	mpfi	volkswagen	?	5500.0	19.0	24.0	8.5	3.4	3.19	136.0	66.9	55.1	100.4	110.0	180.2	2661.0	13295.0	0
front	diesel	turbo	fwd	four	sedan	ohc	four	idi	volkswagen	?	4500.0	33.0	38.0	23.0	3.4	3.01	97.0	66.9	55.1	100.4	68.0	180.2	2579.0	13845.0	0
front	gas	std	fwd	four	wagon	ohc	four	mpfi	volkswagen	?	5500.0	25.0	31.0	9.0	3.4	3.19	109.0	66.9	55.1	100.4	88.0	183.1	2563.0	12290.0	0
front	gas	std	rwd	four	sedan	ohc	four	mpfi	volvo	103	5400.0	23.0	28.0	9.5	3.15	3.78	141.0	67.2	56.2	104.3	114.0	188.8	2912.0	12940.0	-2
front	gas	std	rwd	four	wagon	ohc	four	mpfi	volvo	74	5400.0	23.0	28.0	9.5	3.15	3.78	141.0	67.2	57.5	104.3	114.0	188.8	3034.0	13415.0	-1
front	gas	std	rwd	four	sedan	ohc	four	mpfi	volvo	103	5400.0	24.0	28.0	9.5	3.15	3.78	141.0	67.2	56.2	104.3	114.0	188.8	2935.0	15985.0	-2
front	gas	std	rwd	four	wagon	ohc	four	mpfi	volvo	74	5400.0	24.0	28.0	9.5	3.15	3.78	141.0	67.2	57.5	104.3	114.0	188.8	3042.0	16515.0	-1
front	gas	turbo	rwd	four	sedan	ohc	four	mpfi	volvo	103	5100.0	17.0	22.0	7.5	3.15	3.62	130.0	67.2	56.2	104.3	162.0	188.8	3045.0	18420.0	-2
front	gas	turbo	rwd	four	wagon	ohc	four	mpfi	volvo	74	5100.0	17.0	22.0	7.5	3.15	3.62	130.0	67.2	57.5	104.3	162.0	188.8	3157.0	18950.0	-1
front	gas	std	rwd	four	sedan	ohc	four	mpfi	volvo	95	5400.0	23.0	28.0	9.5	3.15	3.78	141.0	68.9	55.5	109.1	114.0	188.8	2952.0	16845.0	-1
front	gas	turbo	rwd	four	sedan	ohc	four	mpfi	volvo	95	5300.0	19.0	25.0	8.7	3.15	3.78	141.0	68.8	55.5	109.1	160.0	188.8	3049.0	19045.0	-1
front	gas	std	rwd	four	sedan	ohcv	six	mpfi	volvo	95	5500.0	18.0	23.0	8.8	2.87	3.58	173.0	68.9	55.5	109.1	134.0	188.8	3012.0	21485.0	-1
front	diesel	turbo	rwd	four	sedan	ohc	six	idi	volvo	95	4800.0	26.0	27.0	23.0	3.4	3.01	145.0	68.9	55.5	109.1	106.0	188.8	3217.0	22470.0	-1
front	gas	turbo	rwd	four	sedan	ohc	four	mpfi	volvo	95	5400.0	19.0	25.0	9.5	3.15	3.78	141.0	68.9	55.5	109.1	114.0	188.8	3062.0	22625.0	-1
