A10	A12	A9	A13	A5	A1	A4	A7	A6	A11	A8	A14	A3	A15	A2	class
t	f	t	g	g	b	u	v	w	1.0	1.25	202.0	0.0	0.0	30.83	+
t	f	t	g	g	a	u	h	q	6.0	3.04	43.0	4.46	560.0	58.67	+
f	f	t	g	g	a	u	h	q	0.0	1.5	280.0	0.5	824.0	24.5	+
t	t	t	g	g	b	u	v	w	5.0	3.75	100.0	1.54	3.0	27.83	+
f	f	t	s	g	b	u	v	w	0.0	1.71	120.0	5.625	0.0	20.17	+
f	t	t	g	g	b	u	v	m	0.0	2.5	360.0	4.0	0.0	32.08	+
f	t	t	g	g	b	u	h	r	0.0	6.5	164.0	1.04	31285.0	33.17	+
f	f	t	g	g	a	u	v	cc	0.0	0.04	80.0	11.585	1349.0	22.92	+
f	f	t	g	p	b	y	h	k	0.0	3.96	180.0	0.5	314.0	54.42	+
f	t	t	g	p	b	y	v	w	0.0	3.165	52.0	4.915	1442.0	42.5	+
f	t	f	g	g	b	u	h	c	0.0	2.165	128.0	0.83	0.0	22.08	+
f	f	t	g	g	b	u	h	c	0.0	4.335	260.0	1.835	200.0	29.92	+
f	t	t	g	g	a	u	v	k	0.0	1.0	0.0	6.0	0.0	38.25	+
f	f	f	g	g	b	u	v	k	0.0	0.04	0.0	6.04	2690.0	48.08	+
t	t	t	g	g	a	u	v	q	7.0	5.0	0.0	10.5	0.0	45.83	+
t	t	t	g	p	b	y	v	k	10.0	0.25	320.0	4.415	0.0	36.67	+
t	t	t	g	g	b	u	v	m	3.0	0.96	396.0	0.875	0.0	28.25	+
t	f	t	g	g	a	u	v	q	10.0	3.17	120.0	5.875	245.0	23.25	+
f	t	t	g	g	b	u	h	d	0.0	0.665	0.0	0.25	0.0	21.83	+
t	f	t	g	g	a	u	h	cc	7.0	0.75	96.0	8.585	0.0	19.17	+
t	f	t	g	g	b	u	v	c	17.0	2.5	200.0	11.25	1208.0	25.0	+
f	f	t	s	g	b	u	v	c	0.0	0.835	300.0	1.0	0.0	23.25	+
t	t	t	g	g	a	u	v	c	6.0	7.875	0.0	8.0	1260.0	47.75	+
t	f	t	g	g	a	u	h	x	1.0	3.085	120.0	14.5	11.0	27.42	+
t	t	t	g	g	a	u	v	q	3.0	0.5	145.0	6.5	0.0	41.17	+
t	f	t	g	g	a	u	h	c	2.0	1.5	100.0	0.585	0.0	15.83	+
t	t	t	g	g	a	u	bb	i	9.0	5.165	0.0	13.0	0.0	47.0	+
t	t	t	g	g	b	u	bb	d	17.0	15.0	0.0	18.5	0.0	56.58	+
t	f	t	g	g	b	u	h	e	3.0	7.0	0.0	8.5	0.0	57.42	+
t	t	t	g	g	b	u	v	w	6.0	5.0	500.0	1.04	10000.0	42.08	+
t	t	t	g	g	b	u	v	aa	5.0	5.04	168.0	14.79	0.0	29.25	+
t	f	t	g	g	b	u	h	x	8.0	7.96	0.0	9.79	0.0	42.0	+
t	t	t	g	g	b	u	bb	i	15.0	7.585	0.0	7.585	5000.0	49.5	+
f	t	t	g	g	a	u	v	e	0.0	5.0	0.0	5.125	4000.0	36.75	+
t	t	t	g	g	a	u	v	q	5.0	0.415	0.0	10.75	560.0	22.58	+
t	t	t	g	g	b	u	v	w	11.0	2.0	434.0	1.5	35.0	27.83	+
t	t	t	g	g	b	u	h	cc	12.0	1.835	583.0	1.585	713.0	27.25	+
t	t	t	g	g	a	u	h	x	2.0	0.5	300.0	11.75	551.0	23.0	+
t	f	t	g	p	b	y	v	cc	2.0	0.25	260.0	0.585	500.0	27.75	+
t	t	t	g	g	b	u	ff	ff	11.0	14.415	30.0	9.415	300.0	54.58	+
t	t	t	g	g	b	u	v	c	12.0	4.5	0.0	9.17	221.0	34.17	+
t	f	t	g	g	b	u	h	c	11.0	5.335	0.0	15.0	2283.0	28.92	+
t	f	t	g	g	b	u	h	w	1.0	0.75	240.0	1.415	100.0	29.67	+
t	t	t	g	g	b	u	v	w	6.0	8.625	70.0	13.915	0.0	39.58	+
t	f	t	g	p	b	y	v	c	40.0	28.5	0.0	28.0	15.0	56.42	+
t	t	t	g	g	b	u	h	c	11.0	2.625	0.0	6.75	284.0	54.33	+
t	t	t	g	p	a	y	h	q	23.0	0.125	455.0	2.04	1236.0	41.0	+
t	f	t	g	g	b	u	h	cc	3.0	6.04	311.0	4.46	300.0	31.92	+
f	f	f	g	g	b	u	bb	i	0.0	3.5	216.0	1.54	0.0	41.5	+
f	f	f	g	g	b	u	v	c	0.0	0.165	100.0	0.665	0.0	23.92	+
f	t	t	g	g	a	u	h	c	0.0	0.875	491.0	0.5	0.0	25.75	+
f	t	t	g	g	b	u	v	q	0.0	1.75	280.0	1.0	0.0	26.0	+
f	t	t	g	g	b	u	v	w	0.0	0.04	400.0	2.04	5800.0	37.42	+
f	t	t	g	g	b	u	v	w	0.0	0.0	239.0	2.5	200.0	34.92	+
f	t	t	g	g	b	u	h	cc	0.0	7.415	0.0	3.0	0.0	34.25	+
f	t	t	g	p	b	y	v	w	0.0	0.835	160.0	11.625	300.0	23.33	+
f	f	t	g	g	b	u	v	cc	0.0	0.085	0.0	0.0	0.0	23.17	+
f	t	t	g	g	b	u	h	i	0.0	5.0	320.0	0.5	0.0	44.33	+
f	t	f	s	g	b	u	h	x	0.0	5.75	711.0	4.5	0.0	35.17	+
t	f	t	g	g	b	u	h	q	11.0	6.0	80.0	3.0	0.0	43.25	+
t	t	t	g	g	b	u	v	m	4.0	1.25	200.0	12.25	0.0	56.75	+
t	f	t	g	g	b	u	v	d	9.0	3.0	250.0	16.165	730.0	31.67	+
t	t	t	g	p	a	y	v	q	2.0	1.5	80.0	0.79	400.0	23.42	+
t	f	t	g	g	a	u	v	q	1.0	1.585	0.0	0.835	0.0	20.42	+
t	t	t	g	g	b	u	v	cc	1.0	4.29	120.0	4.25	0.0	26.67	+
t	t	t	g	g	b	u	v	cc	1.0	1.54	520.0	1.54	50000.0	34.17	+
t	f	t	g	g	a	u	v	c	11.0	2.0	0.0	1.0	456.0	36.0	+
t	f	t	g	g	b	u	v	m	3.0	0.25	260.0	0.375	15108.0	25.5	+
t	f	t	g	g	b	u	h	w	7.0	1.46	80.0	6.5	2954.0	19.42	+
t	t	t	g	g	b	u	h	x	1.0	1.625	515.0	25.125	500.0	35.17	+
f	t	t	s	g	b	u	bb	e	0.0	1.585	420.0	7.5	0.0	32.33	-
f	t	t	g	g	a	u	v	cc	0.0	13.5	980.0	5.0	0.0	38.58	-
f	f	t	s	g	b	u	v	m	0.0	10.75	400.0	0.5	0.0	44.25	-
f	f	f	g	p	b	y	v	c	0.0	1.625	160.0	7.0	2.0	44.83	-
t	f	t	g	g	b	u	v	q	1.0	0.375	160.0	5.29	0.0	20.67	-
f	t	t	g	g	b	u	v	aa	0.0	0.125	443.0	6.5	0.0	34.08	-
f	t	t	g	p	a	y	v	aa	0.0	0.585	160.0	0.585	0.0	19.17	-
t	f	t	g	p	b	y	v	k	1.0	2.5	180.0	1.165	20.0	21.67	-
f	f	t	g	g	b	u	v	c	0.0	0.25	140.0	9.75	0.0	21.5	-
t	f	t	g	g	b	u	ff	ff	1.0	0.0	94.0	19.0	0.0	49.58	-
f	f	t	s	g	a	u	v	m	0.0	2.0	368.0	1.5	0.0	27.67	-
f	f	t	s	g	b	u	v	m	0.0	0.25	288.0	0.5	0.0	39.83	-
f	t	t	g	g	b	u	v	aa	0.0	0.455	200.0	0.625	0.0	27.25	-
f	t	t	s	g	b	u	bb	c	0.0	5.0	280.0	4.0	0.0	37.17	-
f	f	t	g	p	b	y	v	aa	0.0	4.0	188.0	2.21	0.0	25.67	-
f	t	t	g	g	b	u	v	aa	0.0	1.0	240.0	4.5	0.0	34.0	-
f	t	t	g	g	a	u	j	j	0.0	0.0	100.0	1.5	27.0	49.0	-
f	f	t	g	p	b	y	h	c	0.0	5.0	112.0	12.75	0.0	62.5	-
f	f	t	g	g	b	u	v	c	0.0	0.5	120.0	15.5	0.0	31.42	-
f	t	t	g	p	b	y	h	c	0.0	9.46	200.0	1.375	100.0	52.33	-
f	t	t	g	p	b	y	v	c	0.0	1.5	0.0	1.5	225.0	28.75	-
f	t	t	g	g	a	u	bb	i	0.0	0.5	171.0	3.54	0.0	28.58	-
f	f	t	g	p	b	y	v	aa	0.0	0.125	180.0	0.625	1.0	23.0	-
f	t	t	g	p	a	y	v	q	0.0	3.0	268.0	11.0	0.0	22.5	-
t	t	t	g	g	a	u	v	q	2.0	1.0	167.0	1.0	500.0	28.5	-
f	t	t	g	p	b	y	bb	c	0.0	0.25	164.0	1.75	400.0	37.5	-
f	f	t	g	p	b	y	v	c	0.0	4.0	80.0	16.5	0.0	35.25	-
t	f	t	g	g	b	u	v	q	2.0	0.375	0.0	5.0	38.0	18.67	-
t	t	t	g	g	b	u	v	k	2.0	2.25	120.0	12.0	5.0	25.0	-
t	t	t	g	p	b	y	h	i	2.0	5.75	75.0	4.0	0.0	27.83	-
t	f	t	g	g	b	u	z	e	20.0	0.0	152.0	15.5	130.0	54.83	-
f	f	t	s	g	b	u	v	k	0.0	0.5	280.0	1.165	0.0	28.75	-
f	f	t	g	p	a	y	v	aa	0.0	4.5	120.0	11.0	0.0	25.0	-
f	t	t	g	p	b	y	h	x	0.0	10.0	176.0	2.25	0.0	40.92	-
t	t	t	g	g	a	u	v	c	5.0	0.795	140.0	0.75	5.0	19.75	-
t	t	t	g	g	b	u	v	w	3.0	3.5	329.0	3.5	0.0	29.17	-
t	f	t	g	p	a	y	ff	ff	3.0	0.5	180.0	1.04	147.0	24.5	-
f	t	t	g	g	b	u	v	w	0.0	0.875	260.0	12.5	0.0	24.58	-
t	t	t	g	g	a	u	bb	k	3.0	1.0	212.0	0.75	0.0	33.75	-
t	t	t	g	p	b	y	h	c	3.0	1.375	140.0	1.25	210.0	20.67	-
t	f	t	g	g	a	u	v	q	2.0	1.29	200.0	1.125	0.0	25.42	-
t	t	t	g	g	b	u	h	q	7.0	11.5	300.0	7.0	5.0	37.75	-
t	f	t	g	g	b	u	v	k	15.0	6.29	0.0	6.5	11202.0	52.5	+
t	t	t	g	g	b	u	v	m	6.0	14.0	360.0	7.04	1332.0	57.83	+
t	t	t	g	g	a	u	h	cc	1.0	0.335	80.0	10.335	50.0	20.75	+
t	f	t	g	g	b	u	v	q	1.0	0.04	200.0	6.21	300.0	39.92	+
t	t	t	g	g	b	u	v	cc	67.0	1.21	140.0	12.5	258.0	25.67	+
t	t	t	g	g	a	u	v	aa	12.0	1.5	120.0	12.5	567.0	24.75	+
t	t	t	g	g	a	u	v	q	3.0	7.375	0.0	6.665	0.0	44.17	+
t	t	t	g	g	a	u	v	q	5.0	8.5	120.0	9.0	0.0	23.5	+
t	t	t	g	g	b	u	h	x	6.0	7.5	0.0	5.0	1000.0	34.92	+
t	t	t	g	g	b	u	bb	m	12.0	2.5	410.0	2.5	2510.0	47.67	+
t	t	t	g	g	b	u	v	q	7.0	2.5	100.0	11.0	809.0	22.75	+
t	f	t	g	g	b	u	bb	i	2.0	3.25	274.0	4.25	610.0	34.42	+
f	f	t	s	g	a	u	v	w	0.0	0.835	280.0	3.5	0.0	28.42	+
t	t	t	g	g	b	u	z	e	1.0	13.0	0.0	5.5	0.0	67.75	+
t	f	t	g	g	b	u	v	c	1.0	2.25	100.0	1.835	150.0	20.42	+
t	f	t	g	g	a	u	bb	e	6.0	6.5	375.0	8.0	51100.0	47.42	+
t	f	t	g	g	b	u	bb	c	6.0	2.5	0.0	5.0	367.0	36.25	+
t	t	t	g	g	b	u	h	q	12.0	5.5	408.0	5.5	1000.0	32.67	+
f	t	t	g	g	b	u	h	q	0.0	6.0	350.0	6.5	0.0	48.58	+
t	f	t	g	p	b	y	v	aa	3.0	0.5	200.0	0.54	1000.0	39.92	+
t	f	t	g	g	b	u	v	m	6.0	4.25	204.0	2.75	0.0	33.58	+
t	t	t	g	g	a	u	v	w	6.0	1.625	40.0	9.5	600.0	18.83	+
t	f	t	g	g	a	u	h	q	2.0	5.0	0.0	13.5	5000.0	26.92	+
t	t	t	g	g	a	u	h	cc	9.0	0.625	181.0	3.75	0.0	31.25	+
t	f	t	g	g	a	u	ff	j	15.0	0.0	0.0	16.0	247.0	56.5	+
t	f	t	g	p	b	y	h	cc	8.0	1.75	100.0	0.29	375.0	43.0	+
t	f	t	g	g	b	u	v	w	1.0	2.0	80.0	11.0	278.0	22.33	+
t	f	t	g	g	b	u	h	cc	9.0	5.085	399.0	1.665	827.0	27.25	+
t	f	t	g	g	b	u	h	cc	6.0	2.75	160.0	2.5	2072.0	32.83	+
t	t	t	g	g	b	u	v	q	3.0	2.375	0.0	1.5	582.0	23.25	+
t	f	t	g	p	a	y	h	q	14.0	8.0	0.0	7.54	2300.0	40.33	+
t	t	t	g	g	a	u	bb	c	7.0	4.0	0.0	6.5	3065.0	30.5	+
t	f	t	g	g	a	u	v	c	14.0	5.5	0.0	15.0	2200.0	52.83	+
t	t	t	g	g	a	u	h	cc	11.0	0.415	440.0	0.46	6.0	46.67	+
t	f	t	g	g	a	u	v	q	14.0	4.0	0.0	10.0	1602.0	58.33	+
t	t	t	g	g	b	u	h	m	12.0	4.25	93.0	6.5	0.0	37.33	+
t	t	t	g	g	b	u	v	c	11.0	1.085	60.0	2.5	2184.0	23.08	+
t	t	t	g	g	b	u	h	cc	3.0	5.5	0.0	1.5	0.0	32.75	+
t	t	t	g	p	a	y	j	j	11.0	0.0	0.0	11.5	0.0	21.67	+
t	f	t	g	p	a	y	h	x	1.0	2.54	70.0	3.04	0.0	28.5	+
t	f	t	g	g	a	u	z	e	14.0	0.0	0.0	15.0	3376.0	68.67	+
t	t	t	g	g	b	u	h	k	2.0	4.165	181.0	2.0	0.0	28.0	+
t	t	t	g	p	b	y	bb	m	1.0	0.04	280.0	0.08	2000.0	34.08	+
t	f	t	g	g	b	u	h	x	4.0	1.0	140.0	2.0	7544.0	27.67	+
t	t	t	g	g	b	u	v	m	2.0	1.75	0.0	2.0	15.0	44.0	+
t	t	t	g	g	b	u	v	x	1.0	1.665	395.0	1.71	20.0	25.08	+
f	t	t	g	p	b	y	h	e	0.0	0.04	393.0	1.75	0.0	32.0	+
f	t	t	g	g	a	u	v	q	0.0	11.0	21.0	16.5	10561.0	60.58	+
f	f	t	g	g	a	u	h	q	0.0	1.75	29.0	10.0	837.0	40.83	+
f	t	t	g	g	b	u	v	q	0.0	1.0	60.0	9.5	400.0	19.33	+
f	f	t	g	g	a	u	v	cc	0.0	0.04	440.0	0.54	11177.0	32.33	+
f	t	t	g	g	b	u	h	q	0.0	9.0	102.0	3.25	639.0	36.67	+
f	t	f	g	p	b	y	v	d	0.0	1.5	431.0	1.125	0.0	37.5	+
f	t	t	g	p	a	y	v	aa	0.0	0.25	370.0	2.54	0.0	25.08	+
f	f	t	g	g	b	u	bb	c	0.0	15.0	0.0	0.0	0.0	41.33	+
f	t	t	g	g	b	u	h	k	0.0	8.0	24.0	12.5	2028.0	56.0	+
f	t	t	g	g	a	u	h	k	0.0	8.5	0.0	13.585	0.0	49.83	+
f	f	t	g	g	b	u	h	q	0.0	1.335	100.0	10.5	0.0	22.67	+
f	t	t	g	p	b	y	v	w	0.0	0.375	260.0	1.5	1065.0	27.0	+
f	t	t	s	g	b	u	v	aa	0.0	3.0	20.0	12.5	0.0	25.0	+
f	f	t	g	g	a	u	v	aa	0.0	1.415	160.0	8.665	150.0	26.08	+
t	f	t	g	g	a	u	v	q	4.0	1.21	60.0	9.25	540.0	18.42	+
t	f	t	g	g	b	u	v	aa	14.0	1.96	60.0	8.17	158.0	20.17	+
t	f	t	g	g	b	u	bb	c	20.0	15.0	0.0	0.29	15000.0	47.67	+
t	f	t	s	g	a	u	bb	i	4.0	0.5	80.0	2.335	0.0	21.25	+
t	f	t	g	g	a	u	v	q	3.0	0.165	100.0	3.0	6.0	20.67	+
t	f	t	g	g	a	u	v	c	7.0	5.5	0.0	19.5	3000.0	57.08	+
t	f	t	g	g	a	u	v	q	7.0	2.585	129.0	5.665	3257.0	22.42	+
t	f	t	g	g	b	u	h	c	9.0	12.5	181.0	8.5	1655.0	48.75	+
t	f	t	g	g	b	u	bb	aa	1.0	3.5	0.0	6.5	500.0	40.0	+
t	f	t	g	g	b	u	v	c	7.0	5.0	0.0	5.0	3065.0	40.58	+
t	t	t	g	g	a	u	v	c	5.0	2.5	300.0	1.04	1430.0	28.67	+
t	f	t	g	g	a	u	h	q	2.0	1.625	0.0	4.625	0.0	33.08	+
f	t	t	g	g	b	u	v	c	0.0	3.0	0.0	10.5	0.0	21.33	+
f	f	t	g	g	b	u	h	i	0.0	5.125	400.0	0.205	0.0	42.0	+
f	f	t	g	g	b	u	v	x	0.0	2.5	510.0	0.96	600.0	41.75	+
t	f	t	g	p	b	y	v	w	6.0	3.085	80.0	1.585	0.0	22.67	+
t	t	t	g	p	b	y	bb	i	7.0	8.5	195.0	4.04	0.0	34.5	+
t	t	t	g	p	b	y	bb	c	8.0	1.5	144.0	5.04	7.0	28.25	+
t	t	t	g	p	b	y	v	x	3.0	3.165	380.0	3.165	0.0	33.17	+
t	f	t	g	g	b	u	h	w	12.0	15.5	0.0	7.625	790.0	48.17	+
t	t	t	g	p	b	y	v	aa	3.0	2.0	370.0	2.04	560.0	27.58	+
t	f	t	g	g	b	u	v	x	9.0	0.04	60.0	10.04	396.0	22.58	+
t	f	t	g	g	a	u	h	q	1.0	1.25	0.0	0.5	678.0	24.08	+
f	t	t	g	g	a	u	bb	i	0.0	2.25	0.0	1.0	300.0	41.33	+
t	t	t	g	g	a	u	v	q	2.0	0.71	49.0	10.25	0.0	20.75	+
t	f	t	g	p	b	y	v	w	1.0	0.085	50.0	2.125	1187.0	36.33	+
t	f	t	g	g	a	u	h	q	8.0	14.0	0.0	12.0	6590.0	35.42	+
t	f	t	g	g	b	u	h	q	6.0	5.665	381.0	9.335	168.0	28.67	+
t	f	t	g	g	b	u	v	k	7.0	4.5	150.0	2.5	1270.0	35.17	+
t	f	t	g	g	b	u	bb	c	16.0	6.5	117.0	4.25	1210.0	39.5	+
t	t	t	g	g	b	u	h	cc	14.0	10.0	399.0	5.875	0.0	39.33	+
f	t	t	s	p	b	y	v	d	0.0	5.5	100.0	6.625	0.0	24.33	+
t	t	t	g	g	b	u	ff	ff	15.0	18.0	0.0	14.5	1000.0	60.08	+
t	f	t	g	g	b	u	v	i	9.0	3.5	56.0	11.5	742.0	23.08	+
t	f	t	g	p	b	y	v	cc	1.0	5.25	211.0	2.71	0.0	26.67	+
f	f	t	s	g	b	u	v	aa	0.0	3.5	230.0	3.5	0.0	48.17	+
t	f	t	g	g	b	u	h	cc	8.0	7.0	320.0	4.04	0.0	41.17	+
t	f	t	g	g	b	u	ff	ff	5.0	5.0	0.0	11.5	8851.0	55.92	+
t	f	t	g	g	b	u	v	e	5.0	8.665	0.0	9.625	0.0	53.92	+
t	t	t	g	p	a	y	v	c	4.0	1.0	80.0	9.25	500.0	18.92	+
t	t	t	g	g	a	u	v	aa	3.0	2.29	156.0	12.54	0.0	50.08	+
t	t	t	g	g	b	u	z	e	7.0	20.0	22.0	11.0	0.0	65.42	+
f	t	t	g	g	a	u	v	aa	0.0	1.375	0.0	9.0	0.0	17.58	+
f	f	t	g	g	a	u	v	aa	0.0	0.085	100.0	9.54	0.0	18.83	+
f	t	t	g	g	a	u	v	q	0.0	0.125	228.0	5.5	0.0	37.75	+
f	t	t	g	g	b	u	bb	c	0.0	0.25	160.0	4.0	0.0	23.25	+
f	f	t	g	g	b	u	v	k	0.0	0.5	80.0	5.5	0.0	18.08	+
f	f	f	g	p	a	y	v	x	0.0	2.46	164.0	8.46	0.0	22.5	+
