Fe	Ba	K	Mg	Al	Si	Na	Ca	RI	Id	class
0.0	0.0	0.06	4.49	1.1	71.78	13.64	8.75	1.52101	1.0	1
0.0	0.0	0.48	3.6	1.36	72.73	13.89	7.83	1.51761	2.0	1
0.0	0.0	0.39	3.55	1.54	72.99	13.53	7.78	1.51618	3.0	1
0.0	0.0	0.57	3.69	1.29	72.61	13.21	8.22	1.51766	4.0	1
0.0	0.0	0.55	3.62	1.24	73.08	13.27	8.07	1.51742	5.0	1
0.26	0.0	0.64	3.61	1.62	72.97	12.79	8.07	1.51596	6.0	1
0.0	0.0	0.58	3.6	1.14	73.09	13.3	8.17	1.51743	7.0	1
0.0	0.0	0.57	3.61	1.05	73.24	13.15	8.24	1.51756	8.0	1
0.0	0.0	0.56	3.58	1.37	72.08	14.04	8.3	1.51918	9.0	1
0.11	0.0	0.57	3.6	1.36	72.99	13.0	8.4	1.51755	10.0	1
0.24	0.0	0.67	3.46	1.56	73.2	12.72	8.09	1.51571	11.0	1
0.0	0.0	0.6	3.66	1.27	73.01	12.8	8.56	1.51763	12.0	1
0.24	0.0	0.69	3.43	1.4	73.28	12.88	8.05	1.51589	13.0	1
0.17	0.0	0.54	3.56	1.27	73.21	12.86	8.38	1.51748	14.0	1
0.0	0.0	0.58	3.59	1.31	73.29	12.61	8.5	1.51763	15.0	1
0.0	0.0	0.58	3.54	1.23	73.24	12.81	8.39	1.51761	16.0	1
0.0	0.0	0.61	3.67	1.16	73.11	12.68	8.7	1.51784	17.0	1
0.0	0.0	0.15	3.85	0.89	71.36	14.36	9.15	1.52196	18.0	1
0.0	0.0	0.06	3.73	1.18	72.12	13.9	8.89	1.51911	19.0	1
0.07	0.0	0.54	3.54	1.69	72.73	13.02	8.44	1.51735	20.0	1
0.19	0.0	0.54	3.55	1.49	72.75	12.82	8.52	1.5175	21.0	1
0.0	0.0	0.03	3.75	0.29	72.02	14.77	9.0	1.51966	22.0	1
0.0	0.0	0.59	3.62	1.29	72.79	12.78	8.7	1.51736	23.0	1
0.0	0.0	0.62	3.57	1.35	73.02	12.81	8.59	1.51751	24.0	1
0.0	0.0	0.5	3.5	1.15	72.85	13.38	8.43	1.5172	25.0	1
0.0	0.0	0.65	3.54	1.21	73.0	12.98	8.53	1.51764	26.0	1
0.0	0.0	0.59	3.48	1.41	72.64	13.21	8.43	1.51793	27.0	1
0.0	0.0	0.56	3.48	1.33	73.04	12.87	8.43	1.51721	28.0	1
0.0	0.0	0.57	3.52	1.43	73.15	12.56	8.54	1.51768	29.0	1
0.0	0.0	0.6	3.49	1.28	72.86	13.08	8.49	1.51784	30.0	1
0.14	0.0	0.61	3.56	1.3	73.08	12.65	8.69	1.51768	31.0	1
0.0	0.0	0.56	3.5	1.14	73.27	12.84	8.55	1.51747	32.0	1
0.22	0.09	0.61	3.48	1.23	72.97	12.85	8.56	1.51775	33.0	1
0.06	0.0	0.6	3.47	1.38	73.39	12.57	8.55	1.51753	34.0	1
0.0	0.0	0.57	3.54	1.34	72.95	12.69	8.75	1.51783	35.0	1
0.0	0.0	0.56	3.45	1.21	72.74	13.29	8.57	1.51567	36.0	1
0.0	0.11	0.51	3.53	1.32	71.81	13.89	8.78	1.51909	37.0	1
0.0	0.0	0.64	3.48	1.35	72.96	12.74	8.68	1.51797	38.0	1
0.0	0.0	0.11	3.82	0.47	71.77	14.21	9.57	1.52213	39.0	1
0.0	0.0	0.11	3.82	0.47	71.77	14.21	9.57	1.52213	40.0	1
0.0	0.0	0.64	3.5	1.12	73.03	12.79	8.77	1.51793	41.0	1
0.0	0.0	0.59	3.42	1.2	73.2	12.71	8.64	1.51755	42.0	1
0.0	0.0	0.59	3.39	1.33	72.76	13.21	8.59	1.51779	43.0	1
0.0	0.0	0.17	3.84	0.72	71.76	13.73	9.74	1.5221	44.0	1
0.3	0.0	0.62	3.43	1.19	72.95	12.73	8.76	1.51786	45.0	1
0.0	0.0	0.55	3.48	1.35	71.95	13.49	9.0	1.519	46.0	1
0.16	0.0	0.57	3.37	1.18	72.72	13.19	8.83	1.51869	47.0	1
0.1	0.0	0.02	3.7	0.71	71.57	13.99	9.82	1.52667	48.0	1
0.0	0.0	0.13	3.77	0.79	71.99	13.21	10.02	1.52223	49.0	1
0.0	0.0	0.59	3.35	1.23	72.08	13.58	8.91	1.51898	50.0	1
0.16	0.0	0.09	3.72	0.51	71.75	13.72	10.06	1.5232	51.0	1
0.11	0.0	0.6	3.33	1.28	72.36	13.2	9.14	1.51926	52.0	1
0.0	0.0	0.55	2.87	1.19	72.84	13.43	9.03	1.51808	53.0	1
0.0	0.0	0.55	2.84	1.28	72.85	13.14	9.07	1.51837	54.0	1
0.09	0.0	0.51	2.81	1.29	72.98	13.21	9.02	1.51778	55.0	1
0.24	0.0	0.56	2.71	1.29	73.7	12.45	9.06	1.51769	56.0	1
0.31	0.0	0.62	3.47	1.12	72.98	12.99	8.35	1.51215	57.0	1
0.0	0.0	0.6	3.48	1.29	72.95	12.87	8.43	1.51824	58.0	1
0.0	0.0	0.59	3.74	1.17	72.99	13.48	8.03	1.51754	59.0	1
0.11	0.0	0.57	3.66	1.19	72.79	13.39	8.27	1.51754	60.0	1
0.0	0.0	0.14	3.62	1.11	72.64	13.6	8.76	1.51905	61.0	1
0.0	0.69	0.12	3.58	1.32	71.72	13.81	8.67	1.51977	62.0	1
0.11	0.0	0.23	3.86	0.88	71.79	13.51	9.54	1.52172	63.0	1
0.0	0.0	0.0	3.81	0.78	71.35	14.17	9.69	1.52227	64.0	1
0.07	0.0	0.18	3.74	0.9	72.01	13.48	9.61	1.52172	65.0	1
0.0	0.0	0.09	3.59	1.12	71.96	13.69	9.4	1.52099	66.0	1
0.17	0.0	0.19	3.65	0.87	72.22	13.05	9.85	1.52152	67.0	1
0.17	0.0	0.19	3.65	0.87	72.32	13.05	9.85	1.52152	68.0	1
0.16	0.0	0.23	3.58	0.9	72.2	13.12	9.82	1.52152	69.0	1
0.03	0.0	0.12	3.58	0.82	71.99	13.31	10.17	1.523	70.0	1
0.12	0.0	0.16	3.67	1.74	71.87	14.86	7.36	1.51574	71.0	2
0.32	0.0	0.54	3.87	1.27	71.96	13.64	8.32	1.51848	72.0	2
0.0	0.0	0.67	3.59	1.52	73.1	13.09	7.83	1.51593	73.0	2
0.0	0.0	0.61	3.57	1.57	72.87	13.34	7.89	1.51631	74.0	2
0.0	0.0	0.72	3.56	1.54	73.11	13.02	7.9	1.51596	75.0	2
0.0	0.0	0.69	3.58	1.51	73.12	13.02	7.96	1.5159	76.0	2
0.0	0.0	0.66	3.61	1.54	72.39	13.44	8.03	1.51645	77.0	2
0.0	0.0	0.61	3.58	1.54	72.83	13.0	8.04	1.51627	78.0	2
0.14	0.0	0.37	3.52	1.25	72.88	13.92	7.94	1.51613	79.0	2
0.0	0.0	0.69	3.52	1.9	72.86	12.82	7.97	1.5159	80.0	2
0.0	0.0	0.69	3.52	2.12	72.66	12.86	7.97	1.51592	81.0	2
0.0	0.0	0.61	3.45	1.43	73.17	13.25	7.86	1.51593	82.0	2
0.0	0.0	0.68	3.55	1.25	72.81	13.41	8.1	1.51646	83.0	2
0.09	0.0	0.68	3.52	1.55	72.87	13.09	8.05	1.51594	84.0	2
0.0	0.0	1.1	3.09	2.08	72.28	14.25	7.08	1.51409	85.0	2
0.0	0.0	0.45	3.58	1.49	72.72	13.36	8.21	1.51625	86.0	2
0.0	0.0	0.38	3.49	1.47	73.25	13.24	8.03	1.51569	87.0	2
0.1	0.0	0.67	3.49	1.52	72.65	13.4	8.08	1.51645	88.0	2
0.0	0.0	0.6	3.5	1.48	72.89	13.01	8.12	1.51618	89.0	2
0.09	0.0	0.63	3.48	1.87	73.23	12.55	8.08	1.5164	90.0	2
0.22	0.0	0.64	3.74	1.11	72.28	12.93	8.96	1.51841	91.0	2
0.0	0.0	0.44	3.44	1.45	73.06	12.9	8.27	1.51605	92.0	2
0.19	0.0	0.07	3.41	1.58	73.26	13.12	8.39	1.51588	93.0	2
0.0	0.0	0.39	3.34	1.47	73.1	13.24	8.22	1.5159	94.0	2
0.0	0.0	0.67	3.33	1.49	73.28	12.71	8.24	1.51629	95.0	2
0.0	0.0	0.51	3.43	1.43	72.26	13.36	8.6	1.5186	96.0	2
0.15	0.0	0.64	3.62	1.06	72.34	13.02	9.13	1.51841	97.0	2
0.24	0.0	0.62	3.25	1.16	73.55	12.2	8.9	1.51743	98.0	2
0.0	0.0	0.73	2.88	1.71	73.21	12.67	8.54	1.51689	99.0	2
0.0	0.14	0.6	2.96	1.43	72.92	12.96	8.79	1.51811	100.0	2
0.22	0.11	0.57	2.85	1.44	73.27	12.75	8.79	1.51655	101.0	2
0.0	0.0	0.7	2.72	1.63	72.87	12.35	9.23	1.5173	102.0	2
0.2	0.0	0.35	2.76	0.83	73.81	12.62	9.42	1.5182	103.0	2
0.0	0.0	0.08	3.15	0.66	70.57	13.8	11.64	1.52725	104.0	2
0.0	0.0	0.08	2.9	1.17	71.15	13.83	10.79	1.5241	105.0	2
0.34	0.0	0.81	0.0	1.88	72.19	11.45	13.24	1.52475	106.0	2
0.28	3.15	0.58	0.0	2.1	69.81	10.73	13.3	1.53125	107.0	2
0.24	0.0	0.12	0.0	1.0	70.16	12.3	16.19	1.53393	108.0	2
0.08	0.0	0.1	0.0	1.0	72.67	14.43	11.52	1.52222	109.0	2
0.0	0.0	0.0	0.0	0.56	74.45	13.72	10.99	1.51818	110.0	2
0.0	0.0	0.0	0.0	0.77	73.21	11.23	14.68	1.52664	111.0	2
0.0	0.0	0.0	0.0	0.75	73.08	11.02	14.96	1.52739	112.0	2
0.0	0.0	0.06	0.0	0.67	72.02	12.64	14.4	1.52777	113.0	2
0.14	0.0	0.57	3.83	1.26	72.55	13.46	8.21	1.51892	114.0	2
0.0	0.0	0.6	3.97	1.19	72.44	13.1	8.43	1.51847	115.0	2
0.0	0.0	0.51	3.89	1.33	72.38	13.41	8.28	1.51846	116.0	2
0.1	0.0	0.55	3.9	1.41	72.33	13.24	8.31	1.51829	117.0	2
0.0	0.0	0.64	3.68	1.81	72.06	13.72	7.88	1.51708	118.0	2
0.29	0.0	0.65	3.64	1.53	72.53	13.3	8.03	1.51673	119.0	2
0.0	0.0	0.64	3.57	1.47	72.45	13.56	7.96	1.51652	120.0	2
0.0	0.0	0.58	3.76	1.32	72.4	13.25	8.42	1.51844	121.0	2
0.21	0.0	0.64	3.54	1.62	72.96	12.93	8.03	1.51663	122.0	2
0.0	0.0	0.56	3.54	1.48	72.84	13.23	8.1	1.51687	123.0	2
0.0	0.0	0.62	3.48	1.71	72.52	13.48	7.99	1.51707	124.0	2
0.0	0.0	0.54	3.68	1.15	72.75	13.2	8.52	1.52177	125.0	2
0.12	0.0	0.58	3.66	1.56	72.51	12.93	8.55	1.51872	126.0	2
0.0	0.0	0.56	3.61	1.26	72.75	12.94	8.6	1.51667	127.0	2
0.17	0.0	0.49	2.28	1.43	71.99	13.78	9.85	1.52081	128.0	2
0.17	0.27	0.53	2.09	1.67	72.18	13.55	9.57	1.52068	129.0	2
0.18	0.0	0.39	1.35	1.63	71.76	13.98	10.56	1.5202	130.0	2
0.0	0.0	0.33	1.01	1.36	72.19	13.75	11.14	1.52177	131.0	2
0.1	0.0	0.19	0.0	1.36	71.24	13.7	13.44	1.52614	132.0	2
0.0	0.0	0.58	3.98	1.18	72.49	13.43	8.15	1.51813	133.0	2
0.15	0.0	0.54	3.93	1.54	71.81	13.71	8.21	1.518	134.0	2
0.0	0.0	0.52	3.85	1.25	72.78	13.33	8.12	1.51811	135.0	2
0.28	0.0	0.55	3.9	1.3	72.33	13.19	8.44	1.51789	136.0	2
0.12	0.0	0.56	3.8	1.08	73.07	13.0	8.38	1.51806	137.0	2
0.0	0.0	0.61	3.62	1.57	72.96	12.89	8.11	1.51711	138.0	2
0.0	0.0	0.66	3.52	1.54	73.36	12.79	7.9	1.51674	139.0	2
0.0	0.0	0.65	3.56	1.64	73.14	12.87	7.99	1.51674	140.0	2
0.0	0.0	0.68	3.54	1.61	72.54	13.33	8.11	1.5169	141.0	2
0.17	0.09	0.57	3.63	1.07	72.83	13.2	8.41	1.51851	142.0	2
0.25	0.06	0.68	3.51	1.44	73.01	12.85	8.23	1.51662	143.0	2
0.0	0.0	0.66	3.47	1.79	72.72	13.0	8.18	1.51709	144.0	2
0.24	0.0	0.58	3.18	1.23	72.97	12.99	8.81	1.5166	145.0	2
0.35	0.0	0.62	3.67	1.24	72.57	12.85	8.68	1.51839	146.0	2
0.0	0.0	0.11	3.66	1.11	72.77	13.65	8.6	1.51769	147.0	3
0.0	0.0	0.56	3.53	1.34	72.67	13.33	8.33	1.5161	148.0	3
0.1	0.0	0.56	3.57	1.38	72.7	13.24	8.44	1.5167	149.0	3
0.0	0.0	0.57	3.52	1.35	72.89	12.16	8.53	1.51643	150.0	3
0.17	0.0	0.6	3.45	1.76	72.48	13.14	8.38	1.51665	151.0	3
0.0	0.0	0.0	3.9	0.83	71.5	14.32	9.49	1.52127	152.0	3
0.0	0.0	0.06	3.65	0.65	73.0	13.64	8.93	1.51779	153.0	3
0.0	0.0	0.59	3.4	1.22	72.69	13.42	8.32	1.5161	154.0	3
0.0	0.0	0.61	3.58	1.31	72.61	12.86	8.79	1.51694	155.0	3
0.0	0.0	0.52	3.4	1.26	73.01	13.04	8.58	1.51646	156.0	3
0.0	0.0	0.52	3.39	1.28	72.64	13.41	8.65	1.51655	157.0	3
0.0	0.0	0.11	3.76	0.58	71.79	14.03	9.65	1.52121	158.0	3
0.0	0.0	0.58	3.41	1.52	72.04	13.53	8.79	1.51776	159.0	3
0.09	0.0	0.57	3.36	1.63	71.94	13.5	8.81	1.51796	160.0	3
0.0	0.0	0.56	3.34	1.54	72.14	13.33	8.99	1.51832	161.0	3
0.24	0.15	0.16	3.54	0.75	72.65	13.64	8.89	1.51934	162.0	3
0.37	0.0	0.23	3.78	0.91	71.36	14.19	9.14	1.52211	163.0	3
0.0	2.2	1.68	2.68	3.5	69.89	14.01	5.87	1.51514	164.0	5
0.0	0.0	0.6	1.85	1.86	72.69	12.73	10.09	1.51915	165.0	5
0.0	0.0	0.47	1.88	1.56	72.86	11.56	11.41	1.52171	166.0	5
0.0	0.0	0.58	1.71	1.56	73.44	11.03	11.62	1.52151	167.0	5
0.0	0.0	0.38	0.0	1.65	73.75	12.64	11.53	1.51969	168.0	5
0.0	0.0	0.97	0.0	1.83	73.88	12.86	10.17	1.51666	169.0	5
0.0	0.0	0.47	0.0	1.76	73.03	13.27	11.32	1.51994	170.0	5
0.0	0.0	0.32	0.0	1.58	72.22	13.44	12.24	1.52369	171.0	5
0.0	0.0	6.21	0.0	3.04	70.48	13.02	6.96	1.51316	172.0	5
0.0	0.0	6.21	0.0	3.02	70.7	13.0	6.93	1.51321	173.0	5
0.0	0.0	0.33	0.0	1.4	72.25	13.38	12.5	1.52043	174.0	5
0.51	0.24	0.76	1.61	2.17	72.18	12.85	9.7	1.52058	175.0	5
0.28	0.0	0.13	0.33	1.51	73.39	12.97	11.27	1.52119	176.0	5
0.0	0.0	0.0	2.39	1.56	72.37	14.0	9.57	1.51905	177.0	6
0.0	0.0	0.0	2.41	1.19	72.76	13.79	9.77	1.51937	178.0	6
0.0	0.0	0.0	2.24	1.62	72.38	14.46	9.26	1.51829	179.0	6
0.0	0.0	0.0	2.19	1.66	72.67	14.09	9.32	1.51852	180.0	6
0.0	0.0	0.0	1.74	1.54	74.55	14.4	7.59	1.51299	181.0	6
0.0	0.0	0.0	0.78	1.74	72.5	14.99	9.95	1.51888	182.0	6
0.0	0.0	0.0	0.0	2.09	72.74	14.15	10.88	1.51916	183.0	6
0.0	0.0	0.0	0.0	0.56	73.48	14.56	11.22	1.51969	184.0	6
0.0	0.0	0.0	0.0	0.34	75.41	17.38	6.65	1.51115	185.0	6
0.0	1.19	1.76	3.2	1.81	72.81	13.69	5.43	1.51131	186.0	7
0.0	1.63	1.46	3.26	2.22	71.25	14.32	5.79	1.51838	187.0	7
0.0	0.0	0.6	3.34	1.23	72.38	13.44	8.83	1.52315	188.0	7
0.0	0.0	0.76	2.2	2.06	70.26	14.86	9.76	1.52247	189.0	7
0.0	1.68	0.31	1.83	1.31	70.43	15.79	8.61	1.52365	190.0	7
0.0	0.76	0.0	1.78	1.79	73.1	13.88	8.67	1.51613	191.0	7
0.09	0.64	0.0	0.0	2.38	73.28	14.85	8.76	1.51602	192.0	7
0.09	0.4	0.04	0.0	2.79	73.46	14.2	9.04	1.51623	193.0	7
0.08	1.59	0.0	0.0	2.0	73.02	14.75	8.53	1.51719	194.0	7
0.07	1.57	0.0	0.0	1.98	73.29	14.56	8.52	1.51683	195.0	7
0.05	0.61	0.08	0.0	2.68	73.39	14.14	9.07	1.51545	196.0	7
0.01	0.81	0.14	0.0	2.54	73.23	13.87	9.41	1.51556	197.0	7
0.0	0.66	0.0	0.0	2.34	73.28	14.7	8.95	1.51727	198.0	7
0.0	0.64	0.04	0.0	2.66	73.1	14.38	9.08	1.51531	199.0	7
0.0	0.53	0.05	0.0	2.51	73.05	15.01	8.83	1.51609	200.0	7
0.0	0.63	0.0	0.0	2.25	73.5	15.15	8.34	1.51508	201.0	7
0.0	0.0	2.7	0.0	1.19	75.18	11.95	8.93	1.51653	202.0	7
0.0	0.56	0.0	0.0	2.42	73.72	14.85	8.39	1.51514	203.0	7
0.0	1.71	0.0	0.0	1.99	73.11	14.8	8.28	1.51658	204.0	7
0.0	0.67	0.0	0.0	2.27	73.3	14.95	8.71	1.51617	205.0	7
0.0	1.55	0.0	0.0	1.8	72.99	14.95	8.61	1.51732	206.0	7
0.0	1.38	0.0	0.0	1.87	73.11	14.94	8.67	1.51645	207.0	7
0.0	2.88	1.41	0.0	1.82	72.86	14.39	6.47	1.51831	208.0	7
0.0	0.54	0.0	0.0	2.74	72.85	14.37	9.45	1.5164	209.0	7
0.0	1.06	0.08	0.0	2.88	72.61	14.14	9.18	1.51623	210.0	7
0.0	1.59	0.0	0.0	1.99	73.06	14.92	8.4	1.51685	211.0	7
0.0	1.64	0.0	0.0	2.02	73.42	14.36	8.44	1.52065	212.0	7
0.0	1.57	0.0	0.0	1.94	73.61	14.38	8.48	1.51651	213.0	7
0.0	1.67	0.0	0.0	2.08	73.36	14.23	8.62	1.51711	214.0	7
